location,price,type_type,type_square,type_layout,type_layout_details,built_info_year,built_info_structure,live_info_nearest_supermarket,live_info_nearest_subway
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,Living room: 25 sqm,2005,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 sqm,3LDK,Living room: 30 sqm,1990,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku Ward",$750,Apartment,60 sqm,1DK,Living room: 25 sqm,2000,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Hodogaya Ward",$1100,Condominium,90 sqm,3LDK,Living room: 35 sqm,2008,Steel,18 minutes by walk,13 minutes by bus
"Tokyo City, Minato Ward",$900,Apartment,50 sqm,2LDK,Living room: 20 sqm,1995,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,70 sqm,3LDK,Living room: 30 sqm,2008,Steel,15 minutes by walk,10 minutes by bus
"Tokyo City, Shibuya Ward",$800,Apartment,40 sqm,1LDK,Living room: 15 sqm,2005,Concrete,5 minutes by walk,3 minutes by bus
"Chiba City, Chuo Ward",$1200,House,80 sqm,4LDK,Living room: 40 sqm,2012,Wood,20 minutes by walk,15 minutes by bus
"Chiba City, Hanamigawa Ward",$1500,House,100 sqm,5LDK,Living room: 50 sqm,2000,Concrete,10 minutes by walk,5 minutes by bus
"Tokyo City, Shibuya Ward",$900,Apartment,50 square meters,1LDK,"Living room: 20 square meters, Bedroom: 10 square meters",2000,Concrete,10 minutes by walk,5 minutes by walk
"Yokohama City, Kanagawa Ward",$1000,Condominium,80 square meters,2LDK,"Living room: 30 square meters, Bedroom 1: 15 square meters, Bedroom 2: 12 square meters",1995,Steel,15 minutes by bus,10 minutes by bus
"Chiba City, Chiba Ward",$1200,House,120 square meters,3LDK,"Living room: 40 square meters, Bedroom 1: 18 square meters, Bedroom 2: 15 square meters, Bedroom 3: 12 square meters",1990,Wood,20 minutes by walk,15 minutes by walk
"Tokyo City, Shinjuku Ward",$850,Apartment,45 square meters,1DK,"Living room: 25 square meters, Bedroom: 10 square meters",1998,Concrete,5 minutes by walk,10 minutes by walk
"Yokohama City, Yokohama Ward",$950,Apartment,60 square meters,2DK,"Living room: 30 square meters, Bedroom 1: 15 square meters, Bedroom 2: 12 square meters",2005,Steel,10 minutes by bus,5 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,50 square meters,1LDK,Living room: 20 square meters,2000,Steel,10 minutes by walk,5 minutes by bus
"Yokohama City, Naka Ward",$750,Condominium,40 square meters,1DK,Living room: 15 square meters,1995,Concrete,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$950,House,80 square meters,2LDK,Living room: 30 square meters,2010,Wood,5 minutes by walk,20 minutes by bus
"Tokyo City, Minato Ward",$900,Apartment,60 square meters,2LDK,Living room: 25 square meters,2005,Concrete,10 minutes by walk,10 minutes by bus
"Yokohama City, Kanagawa Ward",$800,Condominium,45 square meters,1LDK,Living room: 18 square meters,1990,Steel,15 minutes by walk,5 minutes by bus
"Tokyo City, Chiyoda Ward",$800,Apartment,50 square meters,1LDK,Living room: 20 square meters,1990,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 square meters,2LDK,Living room: 30 square meters,2005,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 square meters,3LDK,Living room: 40 square meters,1985,Wood,5 minutes by walk,20 minutes by bus
"Tokyo City, Shinjuku Ward",$850,Apartment,60 square meters,2LDK,Living room: 25 square meters,1995,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Nishi Ward",$1100,House,90 square meters,4LDK,Living room: 50 square meters,2000,Steel,20 minutes by walk,15 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50 sqm,1LDK,20 sqm living room,2010,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,30 sqm living room,2005,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 sqm,3LDK,40 sqm living room,1990,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60 sqm,1DK,25 sqm living room,2008,Concrete,12 minutes by walk,7 minutes by bus
"Yokohama City, Nishi Ward",$950,Condominium,65 sqm,2DK,28 sqm living room,2003,Steel,18 minutes by walk,13 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2000,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,Living room: 25 sqm,1995,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 sqm,3LDK,Living room: 30 sqm,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60 sqm,2LDK,Living room: 22 sqm,1998,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Nishi Ward",$950,Condominium,65 sqm,2LDK,Living room: 24 sqm,2005,Concrete,18 minutes by walk,12 minutes by bus
"Tokyo City, Shinjuku Ward",$800,Apartment,50 sqm,1LDK,20 sqm living room,2005,Steel,10 minutes by walk,5 minutes by walk
"Yokohama City, Kanagawa Ward",$1000,Condominium,70 sqm,2LDK,25 sqm living room,1998,Concrete,15 minutes by bus,10 minutes by walk
"Chiba City, Chuo Ward",$700,Apartment,40 sqm,1DK,15 sqm living room,2010,Wood,5 minutes by walk,20 minutes by bus
"Tokyo City, Shibuya Ward",$900,Apartment,60 sqm,2LDK,30 sqm living room,2000,Concrete,8 minutes by walk,10 minutes by walk
"Yokohama City, Nishi Ward",$1200,Condominium,80 sqm,3LDK,35 sqm living room,1995,Steel,12 minutes by bus,15 minutes by walk
"Tokyo City, Shinjuku Ward",$900,Apartment,50 sqm,1LDK,Living room: 20 sqm,2000,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,70 sqm,2LDK,Living room: 30 sqm,1990,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1200,House,80 sqm,3LDK,Living room: 40 sqm,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$950,Apartment,60 sqm,2LDK,Living room: 25 sqm,1995,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Nishi Ward",$1050,Condominium,65 sqm,2LDK,Living room: 28 sqm,1998,Steel,18 minutes by walk,12 minutes by bus
"Tokyo City, Minato Ward",$800,apartment,50 sqm,1LDK,Living room: 20 sqm,2005,concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,condominium,70 sqm,2LDK,Living room: 30 sqm,2010,steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,house,80 sqm,3LDK,Living room: 40 sqm,1995,wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,apartment,60 sqm,1DK,Living room: 25 sqm,2008,concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Nishi Ward",$950,condominium,90 sqm,3LDK,Living room: 45 sqm,2015,steel,18 minutes by walk,12 minutes by bus
"Tokyo City, Shinjuku Ward",$800,Apartment,50 sqm,1LDK,20 sqm living room,2005,Steel,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,30 sqm living room,2010,Concrete,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 sqm,3LDK,40 sqm living room,1998,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60 sqm,2LDK,25 sqm living room,2008,Steel,12 minutes by walk,8 minutes by bus
"Yokohama City, Nishi Ward",$950,Condominium,90 sqm,3LDK,35 sqm living room,2015,Concrete,18 minutes by walk,12 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50 square meters,1LDK,Living room: 15 square meters,2000,Concrete,10 minutes by bus,5 minutes by walk
"Yokohama City, Kanagawa Ward",$900,Condominium,70 square meters,2LDK,Living room: 20 square meters,2010,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 square meters,3LDK,Living room: 25 square meters,1995,Wood,20 minutes by bus,15 minutes by walk
"Tokyo City, Shibuya Ward",$850,Apartment,60 square meters,2LDK,Living room: 18 square meters,2005,Concrete,12 minutes by bus,8 minutes by walk
"Yokohama City, Nishi Ward",$750,Condominium,65 square meters,1LDK,Living room: 16 square meters,2012,Steel,8 minutes by walk,10 minutes by bus
"Tokyo City, Shinjuku Ward",$900,Apartment,50 sqm,1LDK,Living room: 20 sqm,2005,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,70 sqm,2LDK,Living room: 30 sqm,2010,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chiba Ward",$1100,House,80 sqm,3LDK,Living room: 40 sqm,1990,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$950,Apartment,60 sqm,2LDK,Living room: 25 sqm,2008,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Yokohama Ward",$1050,Condominium,65 sqm,2LDK,Living room: 28 sqm,2015,Steel,18 minutes by walk,12 minutes by bus
"Tokyo City, Shibuya Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2000,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,80 sqm,2LDK,Living room: 30 sqm,1995,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,100 sqm,3LDK,Living room: 40 sqm,2005,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku Ward",$850,Apartment,60 sqm,1DK,Living room: 25 sqm,1990,Concrete,5 minutes by walk,2 minutes by bus
"Yokohama City, Naka Ward",$950,Condominium,70 sqm,2DK,Living room: 35 sqm,2003,Steel,10 minutes by walk,5 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,40 square meters,1LDK,Living room: 20 square meters,2005,Concrete,10 minutes walk,5 minutes walk
"Yokohama City, Kanagawa Ward",$1000,Condominium,60 square meters,2LDK,Living room: 30 square meters,2010,Steel,15 minutes walk,10 minutes walk
"Chiba City, Chiba Ward",$1200,House,80 square meters,3LDK,Living room: 40 square meters,1995,Wood,20 minutes walk,15 minutes walk
"Tokyo City, Shibuya Ward",$850,Apartment,45 square meters,1DK,Living room: 25 square meters,2008,Concrete,8 minutes walk,3 minutes walk
"Yokohama City, Yokohama Ward",$950,Condominium,55 square meters,2DK,Living room: 35 square meters,2015,Steel,12 minutes walk,7 minutes walk
"Tokyo City, Shibuya Ward",$900,Apartment,50 sqm,1LDK,Living room: 20 sqm,2010,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,70 sqm,2LDK,Living room: 30 sqm,2015,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1200,House,80 sqm,3LDK,Living room: 40 sqm,2005,Wood,5 minutes by walk,20 minutes by bus
"Tokyo City, Shinjuku Ward",$850,Apartment,45 sqm,1DK,Living room: 15 sqm,2000,Concrete,8 minutes by walk,3 minutes by bus
"Yokohama City, Nishi Ward",$950,Condominium,60 sqm,2DK,Living room: 25 sqm,2018,Steel,12 minutes by walk,8 minutes by bus
"Tokyo City, Shinjuku Ward",$800,Apartment,50 square meters,1LDK,Living room: 20 square meters,1990,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 square meters,2LDK,Living room: 30 square meters,2005,Steel,15 minutes by bus,10 minutes by walk
"Chiba City, Chuo Ward",$1000,House,80 square meters,3LDK,Living room: 40 square meters,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60 square meters,1DK,Living room: 25 square meters,2000,Concrete,12 minutes by bus,8 minutes by walk
"Yokohama City, Nishi Ward",$1100,Condominium,90 square meters,3LDK,Living room: 45 square meters,1995,Steel,18 minutes by bus,12 minutes by walk
"Tokyo City, Shinjuku Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,2005,Steel,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70 sqm,2LDK,Living room: 25 sqm,2010,Concrete,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80 sqm,3LDK,Living room: 30 sqm,1995,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60 sqm,2LDK,Living room: 25 sqm,2008,Steel,12 minutes by walk,7 minutes by bus
"Yokohama City, Nishi Ward",$950,Condominium,75 sqm,2LDK,Living room: 20 sqm,2012,Concrete,18 minutes by walk,10 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,60,1LDK,20 square meters living room,1990,wood,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,80,2LDK,30 square meters living room,2005,steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,100,3LDK,40 square meters living room,1985,concrete,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$750,Apartment,50,1DK,15 square meters living room,2000,wood,5 minutes by walk,3 minutes by bus
"Yokohama City, Nishi Ward",$850,Condominium,70,2LDK,25 square meters living room,1995,steel,12 minutes by walk,8 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50,1LDK,Living room: 20sqm,2000,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$950,Condominium,80,2LDK,Living room: 30sqm,1995,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1200,House,100,3LDK,Living room: 40sqm,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku Ward",$750,Apartment,45,1DK,Living room: 15sqm,2005,Concrete,5 minutes by walk,2 minutes by bus
"Yokohama City, Nishi Ward",$900,Condominium,65,2DK,Living room: 25sqm,1990,Steel,12 minutes by walk,8 minutes by bus
"Tokyo City, Chiyoda Ward",$900,Apartment,50 sqm,1LDK,Living room: 20 sqm,1995,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,70 sqm,2LDK,Living room: 30 sqm,2005,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1200,House,80 sqm,3LDK,Living room: 40 sqm,2010,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku Ward",$950,Apartment,60 sqm,2LDK,Living room: 25 sqm,2000,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Nishi Ward",$1100,Condominium,90 sqm,3LDK,Living room: 35 sqm,2015,Steel,18 minutes by walk,13 minutes by bus
"Tokyo City, Minato Ward",$900,Apartment,50 sqm,1LDK,"Living room: 20 sqm, Bedroom: 12 sqm, Kitchen: 8 sqm",2010,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,80 sqm,2LDK,"Living room: 30 sqm, Bedroom 1: 15 sqm, Bedroom 2: 12 sqm, Kitchen: 10 sqm",2015,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1200,House,120 sqm,3LDK,"Living room: 40 sqm, Bedroom 1: 20 sqm, Bedroom 2: 15 sqm, Bedroom 3: 12 sqm, Kitchen: 15 sqm",2005,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shinjuku Ward",$800,Apartment,40 sqm,1DK,"Living room: 20 sqm, Dining room/Kitchen: 10 sqm, Bedroom: 8 sqm",1990,Concrete,5 minutes by walk,10 minutes by walk
"Yokohama City, Nishi Ward",$950,Condominium,60 sqm,2DK,"Living room: 25 sqm, Dining room/Kitchen: 12 sqm, Bedroom 1: 10 sqm, Bedroom 2: 8 sqm",2008,Steel,10 minutes by walk,5 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50 sqm,1LDK,Living room: 20 sqm,1995,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Naka Ward",$900,Condominium,70 sqm,2LDK,Living room: 30 sqm,2005,Steel,15 minutes by walk,10 minutes by bus
"Tokyo City, Shibuya Ward",$700,Apartment,40 sqm,1K,Living room: 15 sqm,1985,Wood,5 minutes by walk,3 minutes by bus
"Chiba City, Chuo Ward",$850,Apartment,60 sqm,2DK,Living room: 25 sqm,1990,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Kanagawa Ward",$1000,Condominium,80 sqm,3LDK,Living room: 35 sqm,2000,Steel,20 minutes by walk,15 minutes by bus
"Tokyo City, Minato Ward",$800,Apartment,50,1LDK,Living room: 20 square meters,1990,Concrete,10 minutes by walk,5 minutes by bus
"Yokohama City, Kanagawa Ward",$900,Condominium,70,2LDK,Living room: 30 square meters,2005,Steel,15 minutes by walk,10 minutes by bus
"Chiba City, Chuo Ward",$1000,House,80,3LDK,Living room: 40 square meters,1985,Wood,20 minutes by walk,15 minutes by bus
"Tokyo City, Shibuya Ward",$850,Apartment,60,1DK,Living room: 25 square meters,2000,Concrete,12 minutes by walk,8 minutes by bus
"Yokohama City, Naka Ward",$1100,Condominium,90,3LDK,Living room: 45 square meters,2010,Steel,18 minutes by walk,12 minutes by bus
"Tokyo City, Chuo Ward",$800,Apartment,50 sqm,1LDK,20 sqm living room,1995,Steel,10 minutes by walk,5 minutes by bus
"Yokohama City, Naka Ward",$1000,Condominium,70 sqm,2LDK,30 sqm living room,2005,Concrete,15 minutes by walk,10 minutes by bus
