name,year,location,layout,price,description
Cozy Yokohama House,2007,"Yokohama, Naka-ku",1LDK,"¥150,000/month","Located in the heart of Yokohama, this cozy 1LDK house is perfect for singles or couples looking for a comfortable and convenient rental. Pets are allowed with an additional deposit. Smoking is not allowed indoors but there is a designated smoking area outside. Free wifi is provided. The nearest subway station is a 10 minute walk and the nearest supermarket is only a 5 minute walk away. Elevator is available for easy access to the 3rd floor unit."
Peaceful Retreat in Chiba,2016,"Chiba City, Wakaba Ward",3LDK,"¥200,000/month","This spacious house is perfect for families or groups looking for a tranquil escape in Chiba. It was built in 2016 and features 3 bedrooms, a living room, dining room, and kitchen. The rent includes free WiFi and pets are allowed with additional pet deposit. The house does not have an elevator, but the nearest subway station is a 10-minute walk away. The station is Wakaba Station and it takes 20 minutes to get to central Chiba. The nearest supermarket is also a 10-minute walk away."
Modern 1LDK House in Fujisawa for Rent,2016,"Fujisawa City, Kanagawa Prefecture",1LDK,"¥150,000/month","This modern 1LDK house is located in the beautiful city of Fujisawa in Kanagawa Prefecture. Built in 2016, it offers a spacious layout with a living room, dining area, kitchen, one bedroom and one bathroom. The rent includes the use of all necessary appliances such as a refrigerator, washing machine and stove. Pets are allowed with additional deposit. Smoking is not allowed in the house. Free WiFi is provided. The house is equipped with an elevator for easy access. It takes only 10 minutes to walk to the nearest subway station, Fujisawa Station, which is on the Odakyu Odawara Line, allowing for a convenient commute to nearby cities and Tokyo. The nearest supermarket is also just a 10-minute walk away, making grocery shopping a breeze. Enjoy comfortable living in this modern house in the heart of Fujisawa!"
Saitama Cozy House,2016,"Saitama City, Urawa Ward, Inariyama 1-2-3",1LDK,"¥120,000/month","This modern 1LDK house is perfect for those looking for a cozy and comfortable living space in Saitama. It was built in 2016, so it's relatively new and well-maintained. Pets and smoking are not allowed in the house. The monthly rent includes free wifi and water fees, but electricity and gas are paid separately. The nearest subway station is a 10-minute walk away, and it takes about 25 minutes to get to central Tokyo. There is also a bus stop just a few minutes away that can take you to the nearest supermarket in 15 minutes. The house also has an elevator for convenience."
Tokyo Dream House,2015,"Shinjuku City, Yayoicho",1LDK,"¥160,000/month","Property Overview:

                - 1 bedroom, 1 living room, 1 kitchen, 1 bathroom

                - Built-in closet for storage

                - Pet friendly for small pets

                - Smoking allowed on balcony

                - Free high-speed wifi included

                - Elevator in building

                

                Nearest Subway Station:

                - Walking distance: 10 minutes

                - Train Line: Tozai Line

                - Station Name: Yotsuya-Sanchome Station

                

                Nearest Supermarket:

                - Walking distance: 5 minutes

                - Supermarket Name: Seijo Ishii

                - Open Hours: 9:00AM-11:00PM"
Yokohama Cozy House,2014,"Yokohama City, Naka Ward",2LDK,"¥150,000/month","This cozy house is located in the heart of Yokohama, in the popular Naka Ward. It was built in 2014 and offers a spacious 2 bedroom layout (with living, dining, and kitchen areas). Pets are allowed and smoking is allowed in designated areas. Free WiFi is provided for tenants. The nearest subway station, Nihon-Odori, is a 5 minute walk away from the house. The nearest supermarket, FamilyMart, is a 10 minute walk away. The house is also equipped with an elevator for easy access."
Saitama Spacious House,2000,"Saitama City, Urawa Ward",3LDK,"¥ 200,000/month","This beautiful house was built in 2000 and is located in the Urawa ward of Saitama City. It has a spacious layout of 3 bedrooms, living room, dining room and kitchen (3LDK). The monthly rental price is ¥200,000 and includes free WiFi. Pets are allowed upon approval. Smoking is not allowed. The nearest subway station is a 10-minute walk and the nearest supermarket is a 5-minute drive away."
Tokyo Terrace House,1998,"Tokyo, Shibuya ward",3LDK,"¥200,000/month","Fully furnished rental house located in the heart of Tokyo, just a 5 minute walk to the nearest subway station. Perfect for families or roommates who want to experience the city life. Pets and smoking are not allowed. Free wifi and elevator available. 10 minutes to the nearest supermarket by foot."
Tokyo Sunshine House,2018,"Tokyo, Meguro Ward",2LDK,"¥150,000/month",This bright and spacious house is perfect for families or roommates. Pets are allowed and smoking is allowed outside on the balcony. Free wifi is provided. The nearest subway station is a 5 minute walk away and it takes 10 minutes to get to the city center. The closest supermarket is a 10 minute walk away.
Modern Saitama House,2015,"Saitama City, Omiya Ward",2LDK,"¥180,000/month","This modern house boasts two spacious bedrooms, a living room, dining area, and kitchen, providing a comfortable living space for families or working professionals. It was built in 2015 with high-quality materials and features sleek, contemporary design. Pets are allowed upon landlord approval and smoking is not allowed. Free wifi is provided for the convenience of tenants. The nearest subway station, Omiya Station, is a 10-minute walk away and provides easy access to central Tokyo. The nearest supermarket, Seiyu, is a 5-minute drive from the house."
Sunrise House in Fujisawa,2021,"Fujisawa, Kanagawa",2LDK,"¥150,000/month","This beautiful 2LDK house was built in 2021 and is located in Fujisawa, Kanagawa. The house is fully furnished and offers a spacious living room, dining area, kitchen, 2 bedrooms, and 1 bathroom. The house is pet-friendly and also provides free Wi-Fi. There is an elevator in the building making it easy to access all floors. The nearest subway station, Fujisawa Station, is a 10-minute walk away with easy access to Tokyo and other major cities. The nearest supermarket is just a 5-minute walk away, perfect for grocery shopping. Come experience comfortable living in this Sunrise House in Fujisawa!"
Sakura House,1982,"Tokyo, Nerima-Ku",1LDK,"¥120,000/month","Pet-friendly, non-smoking, free Wi-Fi provided. The nearest subway station is a 5-minute walk to Nerima-Takanodai Station. The supermarket is a 10-minute walk to Seiyu Asagaya store, and there is an elevator in the building."
Sakura Residence,2014,"Fujisawa City, Kanagawa Prefecture",1LDK,"¥135,000/month","This modern apartment is located in the beautiful city of Fujisawa, just a short train ride away from Tokyo. The 1LDK layout includes a spacious living and dining area, a separate bedroom, and a fully-equipped kitchen. Pets are welcome in this building and smoking is allowed on the balcony. Free wifi is provided and there is an elevator for easy access. It takes only 5 minutes to walk to the nearest subway station, Fujisawa Station, and from there it is a 20 minute train ride to Shinjuku Station. The nearest supermarket is also just a 5 minute walk away."
Beautiful House in Fujisawa,2010,"Fujisawa City, Kanagawa Prefecture",2LDK,"¥150,000/month","This spacious and modern 2LDK house is located in the charming city of Fujisawa. It was built in 2010 and has been well-maintained. Pets are allowed upon approval and smoking is not allowed. Free wifi is provided and there is an elevator for easy access to the upper floors. The nearest subway station, Fujisawa Station, is a 10-minute walk away. The nearest supermarket is also a 10-minute walk away. Enjoy the bustling city life while still living in a peaceful and quiet neighborhood."
Spacious House in Kawasaki,1985,"Kawasaki, Kawasaki Ward",3LDK,"¥200,000/month","This spacious 3LDK house is located in the heart of Kawasaki, in the peaceful Kawasaki Ward. Built in 1985, it has been recently renovated with modern appliances and amenities. The house comes fully furnished and is pet-friendly. Smoking is not allowed inside the house. Free WiFi is provided. The nearest subway station is a 10 minute walk away, and the nearest supermarket is a 5 minute walk away. The house also has an elevator for convenience."
Chiba Green House,2015,"Chiba City, Chuo Ward",1LDK,"¥120,000/month","This cozy 1LDK house is located in the central area of Chiba city, just a 10-minute walk from Chiba station. It was built in 2015 and is in great condition. The house is pet-friendly and allows smoking. Free wifi is also provided. There is an elevator in the building, making it convenient for carrying groceries and luggage. It takes only 5 minutes to walk to the nearest subway station, and 10 minutes to the nearest supermarket. Transportation to Tokyo takes approximately 40 minutes by train."
Cozy Saitama House,2015,"Kita Ward, Saitama City",2LDK,"¥160,000/month","This newly built house in Saitama offers a cozy and comfortable living space. It is located in Kita Ward, which is a quiet and peaceful neighborhood in Saitama City. The house has a spacious 2LDK layout, perfect for families or couples. Pets are allowed in the house and smoking is permitted in the designated areas. Free wifi is provided for tenants. The nearest subway station is a 10 minute walk and the name of the station is Akabane-iwabuchi Station. It takes approximately 15 minutes to reach the nearest supermarket by foot. Elevator is available in the building for easy accessibility."
Sakura House,2005,"Kawasaki, Takatsu Ward",2LDK,"¥150,000/month","This modern and spacious house is located in a quiet residential area of Kawasaki. It features a large living room, dining room and kitchen on the first floor, as well as two bedrooms and a study room on the second floor. The house is pet-friendly and has free Wi-Fi. There is an elevator in the building. It takes only 5 minutes to walk to the nearest subway station and 10 minutes to the nearest supermarket."
Cozy Chiba House,2015,"Chiba City, Inage Ward",2LDK,"¥180,000/month","This charming 2LDK house is located in a quiet neighborhood in Chiba City's Inage Ward. It was built in 2015 and has been well-maintained. The house is pet-friendly and allows smoking. Free WiFi is provided for tenants. There is an elevator in the building. It takes only 5 minutes to walk to the nearest subway station, Inage-Kaigan Station, and 10 minutes to walk to the nearest supermarket. Perfect for a small family or a couple looking for a peaceful home in Chiba."
Fujisawa Retreat,2018,"Fujisawa City, Katase-Nishi Ward",2LDK,"¥170,000/month","This modern and spacious 2LDK house is located in the peaceful and coastal city of Fujisawa. The house was newly built in 2018 and features high ceilings, large windows, and plenty of natural light. Pets and smoking are not allowed in this house. Residents can enjoy free-wifi and there is an elevator for easy access to the second floor. The nearest subway station is a 10-minute walk away and the nearest supermarket is a 5-minute drive. This house is perfect for those who want a quiet and relaxing lifestyle while still being close to the city."
Cozy Fujisawa House,1998,"Fujisawa, Kanagawa Prefecture",2LDK,"¥150,000/month","This charming 2LDK house is perfect for a small family or group. Located in the beautiful city of Fujisawa, it offers easy access to both urban and natural attractions. The house was built in 1998 and is well-maintained, ensuring a comfortable stay for tenants. It is pet-friendly and has free Wi-Fi, but smoking is not allowed. The nearest subway station is a 15-minute walk away, and the closest supermarket can be reached in just 5 minutes. Don't miss out on this great rental opportunity!"
Modern 1LDK House in Kawasaki,2010,"Kawasaki, Kanagawa",1LDK,"¥150,000/month","This modern 1LDK (1 bedroom, living room, dining room, kitchen) house is located in the bustling city of Kawasaki. Built in 2010, it offers a spacious layout and amenities such as a fully equipped kitchen, built-in air conditioning, and a private balcony. The building has an elevator and allows both pets and smoking. Free Wi-Fi is provided, and it takes only 5 minutes to walk to the nearest subway station (Kawasaki station). The nearest supermarket is also just a short 10-minute walk away."
Tokyo Rental House,2020,"Tokyo, Shibuya Ward",2LDK,"¥200,000/month",This modern house was built in 2020 and is located in the heart of Tokyo's bustling Shibuya Ward. The 2LDK layout offers plenty of space for a family or roommates. Pets are allowed and the house comes equipped with free wifi. The nearest subway station is a 5 minute walk and the supermarket is just 10 minutes away. Don't miss your chance to rent this amazing house in Tokyo!
Fujisawa Cozy House,2015,"Fujisawa City, Kanagawa Prefecture",2LDK,"¥180,000/month","Welcome to Fujisawa Cozy House, a beautiful and modern 2LDK rental located in the charming city of Fujisawa. Built in 2015, this house offers all the amenities you need for comfortable living. Pets are allowed with additional deposit. Smoking is allowed on the balcony only. Free wifi is provided. The closest subway station is a 10-minute walk and the station name is Fujisawa Station. The nearest supermarket is a 5-minute drive away. The house also has an elevator for easy access."
Cozy Chiba House,1998,"Chiba City, Mihama Ward",2LDK,"¥150,000/month","Pet friendly house with free WiFi, elevator, and designated smoking area. A 5-minute walk to Inage-Kaigan Station on the JR Keiyo Line. A 10-minute bike ride to the nearest supermarket."
Modern Tokyo House in Shibuya,2015,"Shibuya-ku, Tokyo",2LDK,"¥180,000/month","Fully-furnished house with modern design, located in the bustling Shibuya ward. Pets and smoking are not allowed. Free wifi is provided. The nearest subway station is a 5 minute walk and the closest station is Shibuya Station. There is an elevator in the building. It takes 10 minutes by foot to get to the nearest supermarket."
Cozy Yokohama House,2005,"Yokohama, Kanagawa",2LDK,"¥200,000/month","This charming 2LDK house is perfect for a family or group of friends looking to live in Yokohama. It was built in 2005 and is located in a quiet residential area of the city. The house is pet friendly and allows smoking, and also provides free wifi. There is an elevator in the building which makes moving in and out a breeze. The nearest subway station is a 10-minute walk away, and the supermarket is just a 5-minute walk from the house. It's a great location for those who want a peaceful and convenient living experience in Yokohama."
Modern House in Saitama,2015,"Saitama City, Omiya Ward",2LDK,"¥200,000/month","This modern house was built in 2015 and is located in Saitama City, in the Omiya ward. It features a spacious 2LDK layout, perfect for a small family or a couple. The rental price is ¥200,000 per month. Pets are allowed in the house and there is no smoking allowed. Free Wi-Fi is provided for tenants. The house is equipped with an elevator, making it easily accessible for all. It is a 10-minute walk to the nearest subway station, Omiya Station, and a 15-minute train ride to Saitama Super Arena, a popular shopping and entertainment area. There is a supermarket just a 5-minute walk away from the house, making grocery shopping convenient for tenants."
Chiba Seaside House,2015,"Chiba City, Wakaba Ward",2LDK,"¥180,000/month","This modern 2 bedroom apartment in the Wakaba neighborhood of Chiba City is perfect for families or couples looking for a seaside retreat. Built in 2015, this house features sleek and stylish design elements, as well as modern amenities. Pets and smoking are not allowed. Free wifi is provided, and the house has an elevator for easy access. The closest subway station is a 10-minute walk away, and the nearest supermarket is only 5 minutes away by car."
Comfy House in Yokohama,2017,"Yokohama, Naka ward",2LDK,"¥150,000/month","- Pet allowed
- Free wifi
- Elevator available
- 5 min walk to nearest subway station (Kannai station)
- 15 min walk to nearest supermarket (Life Kannai store)"
Cozy Yokohama House,2015,"Yokohama City, Naka Ward",1LDK,"¥150,000/month","This modern 1LDK house is perfect for couples or small families. It was built in 2015 and is located in Naka Ward, one of the most convenient and lively areas of Yokohama. The nearest subway station is a 5 minute walk away, and there is a supermarket just 10 minutes away on foot. The house is pet-friendly and has free wifi. Smoking is not allowed. There is an elevator in the building for easy access. Getting to Tokyo is a breeze with the nearby subway station. The neighborhood is also full of great restaurants, cafes, and shops. Don't miss out on this perfect rental opportunity in Yokohama!"
